0  93500
1  101500
2  103500
3  98500
4  98500
5  99500
6  101500
8  136500
9  130500
10  129500
17  147500
18  137500
19  142500
20  144500
21  138500
24  153500
25  150500
26  155500
27  154500
28  163500
29  155500
35  50500
36  179500
37  125500
38  183500
50  107500
51  109500
52  116500
53  119500
54  115500
55  107500
56  104500
58  142500
59  130500
60  149500
61  134500
62  144500
63  156500
66  159500
67  156500
68  150500
69  155500
70  154500
71  153500
74  169500
75  158500
76  167500
77  170500
78  166500
79  171500
