#daq_ch	domain	det_def	clover	Time_Offset	theta	phi	threshold	cs_dom	enable	nb_par_cal	cal_pars1	cal_pars2
208	208	17	dE-i	0	90	0	15	0	1	2	0	2.68341673017288
209	209	17	dE-i	0	90	0	15	0	1	2	0	2.71404661845538
210	210	17	dE-i	0	90	0	15	0	1	2	0	2.61575546745611
211	211	17	dE-i	0	90	0	15	0	1	2	0	2.69976726531452
212	212	17	dE-i	0	90	0	15	0	1	2	0	2.65243944732943
213	213	17	dE-i	0	90	0	15	0	1	2	0	2.71789269184681
214	214	17	dE-i	0	90	0	15	0	1	2	0	2.6369203370458
#	0	0										
#	0											
300	300	17	dE-M	0	90	0	15	0	1	2	0	2.70154706160705
301	301	17	dE-M	0	90	0	15	0	1	2	0	2.69430327615894
302	302	17	dE-M	0	90	0	15	0	1	2	0	2.65330435673237
303	303	17	dE-M	0	90	0	15	0	1	2	0	2.65330435673237
304	304	17	dE-M	0	90	0	15	0	1	2	0	2.64655809461003
305	305	17	dE-M	0	90	0	15	0	1	2	0	2.67931471488245
306	306	17	dE-M	0	90	0	15	0	1	2	0	2.67699574345714
307	307	17	dE-M	0	90	0	15	0	1	2	0	2.69521549402982
308	308	17	dE-M	0	90	0	15	0	1	2	0	3.84571498379455
309	309	17	dE-M	0	90	0	15	0	1	2	0	2.70267347895398
310	310	17	dE-M	0	90	0	15	0	1	2	0	3.79640943687996
311	311	17	dE-M	0	90	0	15	0	1	2	0	2.65478450013211
312	312	17	dE-M	0	90	0	15	0	1	2	0	2.62295378460591
313	313	17	dE-M	0	90	0	15	0	1	2	0	2.70798960595161
314	314	17	dE-M	0	90	0	15	0	1	2	0	2.69821078750467
#	0	0										
#	0											
400	400	17	dE-O	0	90	0	15	0	1	2	0	3.52621715042165
401	401	17	dE-O	0	90	0	15	0	1	2	0	4.02719537094108
402	402	17	dE-O	0	90	0	15	0	1	2	0	3.38005577811455
403	403	17	dE-O	0	90	0	15	0	1	2	0	3.70454176939456
404	404	17	dE-O	0	90	0	15	0	1	2	0	3.70454176939456
405	405	17	dE-O	0	90	0	15	0	1	2	0	3.70454176939456
406	406	17	dE-O	0	90	0	15	0	1	2	0	3.54411424250371
407	407	17	dE-O	0	90	0	15	0	1	2	0	3.52621715042165
408	408	17	dE-O	0	90	0	15	0	1	2	0	4.02719537094108
409	409	17	dE-O	0	90	0	15	0	1	2	0	3.70454176939456
410	410	17	dE-O	0	90	0	15	0	1	2	0	3.52621715042165
411	411	17	dE-O	0	90	0	15	0	1	2	0	4.02719537094108
412	412	17	dE-O	0	90	0	15	0	1	2	0	3.70454176939456
413	413	17	dE-O	0	90	0	15	0	1	2	0	3.52621715042165
