0  -487762
1  -488500
2  -487500
3  -486500
4  -489179
5  -487500
6  -490500
7  -488063
8  -488521
9  -488657
10  -489431
11  -489500
12  -489229
13  -488500
14  -487500
15  -488500
100  -532500
101  -509500
102  -508500
103  -507500
104  -509500
105  -508500
106  -492500
107  -508500
108  -508500
109  -510500
110  -511500
111  -508500
112  -510500
114  -510500
115  -510500
200  -419500
201  -419500
202  -419500
203  -419500
204  -420500
205  -419500
206  -420500
207  -420500
208  -420500
209  -419657
210  -420056
211  -422500
212  -437915
213  -440500
214  -411500
300  -435500
301  -435500
302  -434789
303  -434500
304  -436500
305  -435500
306  -435500
307  -434500
308  -435500
309  -435500
310  -435500
311  -435500
312  -435500
313  -433507
314  -435500
400  -560500
401  -559500
402  -560500
403  -560500
404  -561500
405  -560500
406  -561500
407  -560500
408  -560500
409  -560500
410  -560500
411  -560500
412  -560500
413  -544500
414  -559500
500	-453398
501	-511119
502	-498292
503	-501146
504	-376890
505	0
506	-429855
507	0
508	-398746
509	-401855
510	0
511	-372025
512	-428122
513	-429656
514	-401882
515	0
516	-490865
517	0
518	-455415
519	0
520	-477319
521	-498170
522	-473538
523	-489470
524	-466475
700	0
701	-34033.1
702	-17473.3
703	-28939.6
704	0
600	37879.4
601	31752.3
602	42026.4
603	29637.5
604	36532.6
605	0
606	40852
607	0
608	34482.7
609	34904.5
610	0
611	32048.6
612	39932.1
613	38658.8
614	43481.1
615	0
616	29551.2
617	0
618	37195.5
619	0
620	44679.1
621	39284.1
622	37125.5
623	32613.2
624	29701.9

