#daq_ch	domain	det_def	CloverName	TimeOffset	Theta	Phi	Threshold	cs_dom	nothing	cal_pars	par1	par2
000	200	99	TRG	0	0	0	0	0	1	2	0	1
002	1	3	A2P	0	37	72	25	1	1	2      6.0025 3.171103
004	2	3	A3P	0	37	144	10	2	1	2      0.2154 4.546687 
006	3	3	A4P	0	37	216	15	3	1	2      7.5775 4.242670
008	4	3	A5P	0	37	288	15	4	1	2      -4.0559 3.138993
010	5	3	B1P	0	70	36	18	5	1	2      0.1513 3.060582
012	6	3	B2P	0	70	108	10	6	1	2      7.4130 3.804849
014	0	3	A1P	0	37	0	25	0	1	2	26.3157 4.102001
100	8	3	B3P	0	70	180	12	8	1	2      4.3284 3.980348
102	9	3	B4P	0	70	252	17	9	1	2      3.9189 4.213379
104	10	3	B5P	0	70	324	20	10	1	2       -2.7613 2.972180
204	18	3	B1N	0	110	36	15	18	1	2      25.3068 3.918748
206	19	3	B2N	0	110	108	15	19	1	2      6.0924 3.264839
208	20	3	B3N	0	110	180	15	20	1	2      -2.7058 3.539547
210	21	3	B4N	0	110	252	10	21	1	2      -0.0000 1.000000 
300	24	3	B5N	0	110	324	15	24	1	2	 -13.1473 3.187266
302	25	3	A1N	0	143	0	15	25	1	2	 21.6260 4.155130
304	26	3	A2N	0	143	288	15	26	1	2	 19.5776 4.259031
306	27	3	A3N	0	143	216	15	27	1	2	 0.8873 1.58888 
308	28	3	A4N	0	143	144	15	28	1	2	 14.5551 4.215588
310	29	3	A5N	0	143	72	10	29	1	2	 9.6977 4.087911
#106	37	3	C1	0	90	0	10	37	1	2	0	1
108	38	3	C2	0	90	288	10	38	1	2	6.5854 4.383447
110	39	3	C3	0	90	216	10	39	1	2	1.5153 4.518175
200	40	3	C4	0	90	144	10	40	1	2	6.4132 4.013279
202	41	3	C5	0	90	72	15	41	1	2	5.0223 3.580112
#BGO												
003	51	5	BGO	0	0	0	10	1	1	2	0	1
005	52	5	BGO	0	0	0	22	2	1	2	0	1
007	53	5	BGO	0	0	0	15	3	1	2	0	1
009	54	5	BGO	0	0	0	18	4	1	2	0	1
011	55	5	BGO	0	0	0	10	5	1	2	0	1
013	56	5	BGO	0	0	0	10	6	1	2	0	1
015	50	5	BGO	0	0	0	25	0	1	2	0	1
#015	57	5	BGO	0	0	0	10	7	1	2	0	1
101	58	5	BGO	0	0	0	14	8	1	2	0	1
103	59	5	BGO	0	0	0	16	9	1	2	0	1
105	60	5	BGO	0	0	0	15	10	1	2	0	1
#107	61	5	BGO	0	0	0	12	37	1	2	0	1
109	62	5	BGO	0	0	0	10	38	1	2	0	1
111	63	5	BGO	0	0	0	19	39	1	2	0	1
#113	64	5	BGO	0	0	0	15	14	1	2	0	1
#115	65	5	BGO	0	0	0	15	15	1	2	0	1
201	66	5	BGO	0	0	0	15	40	1	2	0	1
203	67	5	BGO	0	0	0	15	41	1	2	0	1
205	68	5	BGO	0	0	0	15	18	1	2	0	1
207	69	5	BGO	0	0	0	15	19	1	2	0	1
209	70	5	BGO	0	0	0	10	20	1	2	0	1
211	71	5	BGO	0	0	0	10	21	1	2	0	1
#213	72	5	BGO	0	0	0	10	22	1	2	0	1
#215	73	5	BGO	0	0	0	10	23	1	2	0	1
301	74	5	BGO	0	0	0	15	24	1	2	0	1
303	75	5	BGO	0	0	0	15	25	1	2	0	1
305	76	5	BGO	0	0	0	15	26	1	2	0	1
307	77	5	BGO	0	0	0	15	27	1	2	0	1
309	78	5	BGO	0	0	0	15	28	1	2	0	1
311	79	5	BGO	0	0	0	10	29	1	2	0	1
#si												
400	204	98	TRG	0	0	0	25	0	1	2	0	1
#401	101	7	Si	0	0	0	10	1	1	2	0	1
402	102	7	Si	0	0	0	22	2	1	2	269.6365 1.461864
403	103	7	Si	0	0	0	15	3	1	2	106.8960 1.492567
404	104	7	Si	0	0	0	18	4	1	2	243.7898 1.469344
405	105	7	Si	0	0	0	10	5	1	2	200.6649 1.469203
406	106	7	Si	0	0	0	10	6	1	2	190.2005 1.524368
407	107	7	Si	0	0	0	10	7	1	2	174.1240 1.505539
408	108	7	Si	0	0	0	14	8	1	2	28.4719 1.502126
409	109	7	Si	0	0	0	16	9	1	2	121.5069 1.525863
410	110	7	Si	0	0	0	15	10	1	2	151.0378 1.468530
411	111	7	Si	0	0	0	12	35	1	2	180.6606 1.504349
412	112	7	Si	0	0	0	10	36	1	2	228.8901 1.434498
413	113	7	Si	0	0	0	19	37	1	2	167.7785 1.466116
414	114	7	Si	0	0	0	15	14	1	2	128.22 1.007174
415	115	7	Si	0	0	0	15	15	1	2	177.7338 1.500393
#												
500	205	98	TRG	0	0	0	15	15	1	2	0	1
#501	117	7	Si	0	0	0	15	15	1	2	0	1
502	118	7	Si	0	0	0	15	15	1	2	 188.9333 1.650547
503	119	7	Si	0	0	0	15	15	1	2	 119.4501 1.716359
504	120	7	Si	0	0	0	15	15	1	2	 158.9405 1.659255
505	121	7	Si	0	0	0	15	15	1	2	 178.8300 1.681814
506	122	7	Si	0	0	0	15	15	1	2	 151.7903 1.710175
507	123	7	Si	0	0	0	15	15	1	2	 118.5910 1.711866
508	124	7	Si	0	0	0	15	15	1	2	 140.1394 1.687161
509	125	7	Si	0	0	0	15	15	1	2	 148.1241 1.649343
510	126	7	Si	0	0	0	15	15	1	2	 62.4419 1.711978
511	127	7	Si	0	0	0	15	15	1	2	 164.9359 1.710024
512	128	7	Si	0	0	0	15	15	1	2	 102.0242 1.700402
513	129	7	Si	0	0	0	15	15	1	2	 166.5838 1.658112
514	130	7	Si	0	0	0	15	15	1	2	 60.7682 1.667543
515	131	7	Si	0	0	0	15	15	1	2	 162.2129 1.678992
#												
600	206	98	TRG	0	0	0	15	15	1	2	0	1
#601	133	7	Si	0	0	0	15	15	1	2	0	1
602	134	7	Si	0	0	0	15	15	1	2	142.0707 1.641304
603	135	7	Si	0	0	0	15	15	1	2	123.2308 1.703941
604	136	7	Si	0	0	0	15	15	1	2	-252.6072 1.782545
605	137	7	Si	0	0	0	15	15	1	2	185.8322 1.673978
606	138	7	Si	0	0	0	15	15	1	2	148.8793 1.689679
607	139	7	Si	0	0	0	15	15	1	2	135.6194 1.686762
608	140	7	Si	0	0	0	15	15	1	2	175.7406 1.677703
609	141	7	Si	0	0	0	15	15	1	2	151.1534 1.697893
610	142	7	Si	0	0	0	15	15	1	2	147.2050 1.719907
611	143	7	Si	0	0	0	15	15	1	2	134.8049 1.682410
612	144	7	Si	0	0	0	15	15	1	2	82.4253 2.166471
613	145	7	Si	0	0	0	15	15	1	2	161.2536 2.134843
614	146	7	Si	0	0	0	15	15	1	2	144.8790 1.696647
615	147	7	Si	0	0	0	15	15	1	2	109.8809 1.699624
#												
700	207	98	TRG	0	0	0	15	15	1	2	0	1
