#daq_ch	domain	det_def	CloverName	TimeOffset	Theta	Phi	Threshold	cs_dom	nothing	cal_pars	par1	par2
#701	149	7	Si	0	0	0	15	15	1	2	0	1
702	150	7	Si	0	0	0	15	15	1	2	123.5896 3.351482
703	151	7	Si	0	0	0	15	15	1	2	162.4494 3.293423
704	152	7	Si	0	0	0	15	15	1	2	479.8592 3.108159
705	153	7	Si	0	0	0	15	15	1	2	153.8809 3.345686
706	154	7	Si	0	0	0	15	15	1	2	135.6459 3.286263
707	155	7	Si	0	0	0	15	15	1	2	122.623 3.421646
708	156	7	Si	0	0	0	15	15	1	2	95.2593 3.291855
709	157	7	Si	0	0	0	15	15	1	2	144.966 3.424477
710	158	7	Si	0	0	0	15	15	1	2	97.1538 3.337492
711	159	7	Si	0	0	0	15	15	1	2	212.7074 3.292039
712	160	7	Si	0	0	0	15	15	1	2	104.3605 3.413955
713	161	7	Si	0	0	0	15	15	1	2	52.9051 3.357056
714	162	7	Si	0	0	0	15	15	1	2	104.923 3.380451
715	163	7	Si	0	0	0	15	15	1	2	77.984 3.38771
#												
800	208	98	TRG	0	0	0	15	15	1	2	0	1
#801	165	7	Si	0	0	0	15	15	1	2	0	1
802	166	7	Si	0	0	0	15	15	1	2	183.9724 1.507615
803	167	7	Si	0	0	0	15	15	1	2	213.3937 1.478588
804	168	7	Si	0	0	0	15	15	1	2	144.9196 1.517279
805	169	7	Si	0	0	0	15	15	1	2	212.9516 1.482988
806	170	7	Si	0	0	0	15	15	1	2	148.9819 1.520158
807	171	7	Si	0	0	0	15	15	1	2	147.9534 1.492388
808	172	7	Si	0	0	0	15	15	1	2	73.4078 1.522661
809	173	7	Si	0	0	0	15	15	1	2	157.5893 1.571434
810	174	7	Si	0	0	0	15	15	1	2	67.0794 1.969243
811	175	7	Si	0	0	0	15	15	1	2	104.8273 1.955741
812	176	7	Si	0	0	0	15	15	1	2	101.6209 1.876969
813	177	7	Si	0	0	0	15	15	1	2	34.0379 1.888676
814	178	7	Si	0	0	0	15	15	1	2	75.1110 1.977617
815	179	7	Si	0	0	0	15	15	1	2	93.2456 1.930293
#												
900	209	98	TRG	0	0	0	15	15	1	2	0	1
#901	181	7	Si	0	0	0	15	15	1	2	0	1
902	182	7	Si	0	0	0	15	15	1	2	-5.2866 2.150363
903	183	7	Si	0	0	0	15	15	1	2	16.0966 2.131797
904	184	7	Si	0	0	0	15	15	1	2	98.5126 2.170291
905	185	7	Si	0	0	0	15	15	1	2	80.0048 2.144207
906	186	7	Si	0	0	0	15	15	1	2	128.9307 2.16399
907	187	7	Si	0	0	0	15	15	1	2	116.1161 2.192235
908	188	7	Si	0	0	0	15	15	1	2	54.6019 2.153628
909	189	7	Si	0	0	0	15	15	1	2	112.8780 2.128856
910	190	7	Si	0	0	0	15	15	1	2	85.2044 2.138484
911	191	7	Si	0	0	0	15	15	1	2	106.0276 2.160932
#912	192	7	Si	0	0	0	15	15	1	2	0	1
#913	193	7	Si	0	0	0	15	15	1	2	0	1
#914	194	7	Si	0	0	0	15	15	1	2	0	1
#915	195	7	Si	0	0	0	15	15	1	2	0	1
#trigger
115	201	98	N	0	0	0	0	0	1	2	0	1
215	202	98	N	0	0	0	0	0	1	2	0	1
315	203	98	N	0	0	0	0	0	1	2	0	1
