0 -105363
1 -104525
2 -105443
3 -103955
4 -105177
5 -105055
6 -107118
7 -105113
8 -105292
9 -104973
10 -105171
11 -105347
12 -105785
13 -105881
14 -105195
15 -106062
100 -26471
101 -25080.4
102 -206050
103 -24150
104 -24450
105 -22698
106 -20156.2
107 -21631.5
108 -17650
109 -23384.2
110 -16450
111 -15978.2
112 -16350
113 -17250
114 -23152.9
115 -23866.5
200 -84150
201 -83950
202 -85950
203 -80984.3
204 -81550
205 -80158.4
206 -81356
207 -83250
208 -81939.1
209 -83325.3
210 -85713.7
211 -80721.8
212 -77149.9
213 -52150
214 -49550
300 -181319
301 -181434
302 -185850
303 -184650
304 -179158
305 -179363
306 -172149
307 -169609
308 -160289
309 -167414
310 -170865
311 -181150
312 -182550
313 -162598
314 -175450
400 -120408
401 -133950
402 -121910
403 -131350
404 -134150
405 -133350
406 -133550
407 -123773
408 -131050
409 -129650
410 -134250
411 -128450
412 -124450
413 -121632
414 -120452
500 -159922
501 -164707
502 -170781
503 -163641
504 -160935
505 -136668
506 -167251
507 -168267
508 -164616
509 -159098
512 -153594
513 -158812
515 -172634
516 -179402
517 -181516
518 -173152
519 -175925
520 -172985
521 -170749
522 -170139
525 -164650
526 -197950
527 --9450
528 -47950
600 -17644.8
601 -24859.1
602 -16787.9
603 -29145.4
604 -23821.7
605 -20595.6
606 -14845.1
607 -2050
608 -26645.8
609 -22427.9
611 -26157.1
612 -13304.9
613 -21384.4
614 -3950
615 -29895
616 -29214.9
617 -43634.6
618 -19954.1
619 -2050
620  3450
621 -11010.5
622 -17100
623 -22598.4
624 -26259
