0 -104150
1 -104334
2 -105350
3 -103453
4 -104874
5 -105650
6 -106050
7 -104650
8 -105092
9 -104964
10 -105250
11 -104450
12 -105544
13 -105689
14 -104450
15 -105953
100 -25350
101 -24701.4
102 -195150
103 -33250
104 -33550
105 -18150
106 -23055
107 -20910.7
108 -26750
109 -27350
110 -27550
111 -22850
112 -25959.7
113 -26350
114 -22150
115 -22559
200 -94932.4
201 -95050
202 -96413.4
203 -91750
204 -91669.7
205 -90850
206 -90250
207 -92350
208 -90550
209 -90337.2
210 -89450
211 -85393.4
212 -86156.1
213 -41250
214 -40349
300 -175650
301 -180886
302 -176950
303 -175750
304 -177150
305 -173450
306 -171850
307 -170837
308 -169853
309 -169550
310 -169551
311 -171055
312 -173650
313 -167450
314 -166471
400 -119050
401 -144048
402 -114150
403 -140450
404 -143250
405 -142726
406 -143106
407 -118514
408 -140150
409 -139233
410 -143350
411 -139380
412 -135397
413 -120150
414 -124035
500 -158378
501 -163550
502 -169250
503 -162750
504 -159750
505 -136182
506 -166676
507 -167871
508 -164244
509 -158704
512 -152850
513 -158050
515 -172550
516 -179050
517 -181446
518 -173050
519 -175750
520 -173031
521 -170812
522 -170198
600 -15050
601 -19050
602 -15050
603 -24664.3
604 -19050
605 -15050
606 -14893.5
607 -12245.9
608 -21050
609 -17050
611 -19850
612 -12650
613 -19050
614 -13050
615 -25150
616 -25845.8
617 -40933.1
618 -14050
619 -12782.6
620 -7560.4
621 -12050
622 -14150
623 -17747.8
624 -22104.8
