0 -105463
1 -104625
2 -105543
3 -104055
4 -105277
5 -105155
6 -107218
7 -105213
8 -105392
9 -105073
10 -105271
11 -105447
12 -105885
13 -105981
14 -105295
15 -106162
100 -26571
101 -25180.4
102 -206150
103 -24250
104 -24550
105 -22798
106 -20256.2
107 -21731.5
108 -17750
109 -23484.2
110 -16550
111 -16078.2
112 -16450
113 -17350
114 -23252.9
115 -23966.5
200 -84250
201 -84050
202 -86050
203 -81084.3
204 -81650
205 -80258.4
206 -81456
207 -83350
208 -82039.1
209 -83425.3
210 -85813.7
211 -80821.8
212 -77249.9
213 -52250
214 -49650
300 -181419
301 -181534
302 -185950
303 -184750
304 -179258
305 -179463
306 -172249
307 -169709
308 -160389
309 -167514
310 -170965
311 -181250
312 -182650
313 -162698
314 -175550
400 -120508
401 -134050
402 -122010
403 -131450
404 -134250
405 -133450
406 -133650
407 -123873
408 -131150
409 -129750
410 -134350
411 -128550
412 -124550
413 -121732
414 -120552
500 -160022
501 -164807
502 -170881
503 -163741
504 -161035
505 -136768
506 -167351
507 -168367
508 -164716
509 -159198
512 -153694
513 -158912
515 -172734
516 -179502
517 -181616
518 -173252
519 -176025
520 -173085
521 -170849
522 -170239
525 -164750
526 -198050
527 --9350
528 -48050
600 -17744.8
601 -24959.1
602 -16887.9
603 -29245.4
604 -23921.7
605 -20695.6
606 -14945.1
607 -2150
608 -26745.8
609 -22527.9
611 -26257.1
612 -13404.9
613 -21484.4
614 -4050
615 -29995
616 -29314.9
617 -43734.6
618 -20054.1
619 -2150
620 -3350
621 -11110.5
622 -17200
623 -22698.4
624 -26359
