#daq_ch	domain	det_def	clover	Time_Offset	theta	phi	threshold	cs_dom	enable	nb_par_cal	cal_pars1	cal_pars2
405	405	17	dE-O		0	90	0	15	0	1	2	0	1
406	406	17	dE-O		0	90	0	15	0	1	2	0	1
407	407	17	dE-O		0	90	0	15	0	1	2	0	1
408	408	17	dE-O		0	90	0	15	0	1	2	0	1
409	409	17	dE-O		0	90	0	15	0	1	2	0	1
410	410	17	dE-O		0	90	0	15	0	1	2	0	1
411	411	17	dE-O		0	90	0	15	0	1	2	0	1
412	412	17	dE-O		0	90	0	15	0	1	2	0	1
413	413	17	dE-O		0	90	0	15	0	1	2	0	1
414	414	17	dE-O		0	90	0	15	0	1	2	0	1
415	415	17	dE-O		0	90	0	15	0	1	2	0	1
#				0								
600	600	5	A1(BGO)	0	90	0	15	600	1	2	0	1       
601	601	5	A2(BGO)	0	90	0	15	601	1	2	0	1
602	602	5	A3(BGO3	0	90	0	15	602	1	2	0	1
603	603	5	A4(BGO)	0	90	0	15	603	1	2	0	1
604	604	5	A5(BGO)	0	90	0	15	604	1	2	0	1
605	605	5	B1(BGO)	0	90	0	15	605	1	2	0	1
606	606	5	B2(BGO)	0	90	0	15	606	1	2	0	1
607	607	5	B3(BGO)	0	90	0	15	607	1	2	0	1
608	608	5	B4(BGO)	0	90	0	15	608	1	2	0	1
609	609	5	B5(BGO)	0	90	0	15	609	1	2	0	1
610	610	5	C1(BGO)	0	90	0	15	610	1	2	0	1
611	611	5	C2(BGO)	0	90	0	15	611	1	2	0	1
612	612	5	C3(BGO)	0	90	0	15	612	1	2	0	1
613	613	5	C4(BGO)	0	90	0	15	613	1	2	0	1
614	614	5	C5(BGO)	0	90	0	15	614	1	2	0	1
700	615	5	-B1(BGO)	0	90	0	15	615	1	2	0	1
701	616	5	-B2(BGO)	0	90	0	15	616	1	2	0	1
702	617	5	-B3(BGO)	0	90	0	15	617	1	2	0	1
703	618	5	-B4(BGO)	0	90	0	15	618	1	2	0	1
704	619	5	-B5(BGO)	0	90	0	15	619	1	2	0	1
705	620	5	-A1(BGO)	0	90	0	15	620	1	2	0	1
706	621	5	-A2(BGO)	0	90	0	15	621	1	2	0	1
707	622	5	-A3(BGO)	0	90	0	15	622	1	2	0	1
708	623	5	-A4(BGO)	0	90	0	15	623	1	2	0	1
709	624	5	-A5(BGO)	0	90	0	15	624	1	2	0	1
#
#815	900	99	RF		0	00	0	20	0	1	2	 0		1
915	900	99	RF		0	00	0	20	0	1	2	 0		1	   	   
